id_station_itinerance;code_insee_commune;coordonneesXY;puissance_nominale;consolidated_longitude;consolidated_latitude;consolidated_commune;nbre_pdc
FRY01P78267001;78267;[1.8087379932403564, 48.98019027709961];22.0;1.8087379932403564;48.98019027709961;Gargenville;2
FRY01P78300001;78300;[1.7426129579544067, 48.88981628417969];22.0;1.7426129579544067;48.88981628417969;Hargeville;2
FRY01P78296001;78440;[1.7773699760437012, 49.828170776367];22.0;1.7773699760437012;49.828170776367;;2
FRY01P78291001;78291;[1.7333439588546753, 48.94434356689453];22.0;1.7333439588546753;48.94434356689453;Guerville;2
FRY01P78281001;78281;[1.768962025642395, 48.921295166015625];3.7;1.768962025642395;48.921295166015625;Goussonville;2
FRY01P78314001;78314;[1.789592981338501, 48.985897064208984];22.0;1.789592981338501;48.98589706420898;Issou;2
FRY01P78246001;78440;[1.751315951347351, 49.2738571166992];3.7;1.751315951347351;49.2738571166992;;2
FRY01P78239001;78520;[1.695544958114624, 49.1463317871094];3.7;1.695544958114624;49.1463317871094;;2
FRY01P78238002;78238;[1.8707870244979858, 48.96299362182617];22.0;1.8707870244979856;48.96299362182617;Flins-sur-Seine;2
FRY01P78238001;78238;[1.8703060150146484, 48.96446228027344];22.0;1.8703060150146484;48.96446228027344;Flins-sur-Seine;2
FRY01P78317001;78440;[1.8505970239639282, 49.4696273803711];22.0;1.850597023963928;49.4696273803711;;2
FRY01P78227001;78740;[1.942268967628479, 49.1411437988281];3.7;1.942268967628479;49.1411437988281;;2
FRY01P78440002;78440;[1.9134039878845215, 48.989524841308594];22.0;1.9134039878845213;48.989524841308594;Les Mureaux;2
FRY01P78335002;78335;[1.7357239723205566, 48.99163818359375];3.7;1.7357239723205566;48.99163818359375;Limay;2
FRY01P78440004;78440;[1.8927689790725708, 48.982730865478516];22.0;1.8927689790725708;48.98273086547852;Les Mureaux;2
FRY01P78440001;78440;[1.9096269607543945, 48.992950439453125];3.7;1.9096269607543943;48.992950439453125;Les Mureaux;2
FRY01P78440003;78440;[1.9128140211105347, 48.989158630371094];22.0;1.912814021110535;48.98915863037109;Les Mureaux;2
FRY01P78010001;78010;[1.9189529418945312, 48.91340637207031];22.0;1.9189529418945312;48.91340637207031;Les Alluets-le-Roi;2
FRY01P78230001;78230;[1.8316055536270142, 48.94566345214844];3.7;1.8316055536270144;48.94566345214844;La Falaise;2
FRY01P78327001;78327;[1.8439379930496216, 48.99148941040039];22.0;1.8439379930496216;48.99148941040039;Juziers;2
FRY01P78327002;78327;[1.8453069925308228, 48.992427825927734];3.4;1.8453069925308228;48.99242782592773;Juziers;2
FRY01P78217001;78217;[1.8130769729614258, 48.957637786865234];3.7;1.8130769729614256;48.957637786865234;Épône;2
FRY01P78090001;78090;[1.899338960647583, 48.9635124206543];3.7;1.899338960647583;48.9635124206543;Bouafle;2
FRY01P78118003;78118;[1.6713769435882568, 48.97963333129883];3.7;1.6713769435882568;48.97963333129883;Buchelay;2
FRY01P78118001;78118;[1.677649974822998, 48.982391357421875];22.0;1.677649974822998;48.98239135742188;Buchelay;2
FRY01P78118004;78118;[1.6739139556884766, 48.9901008605957];22.0;1.6739139556884766;48.9901008605957;Buchelay;2
FRY01P78118002;78118;[1.664396047592163, 48.99001693725586];22.0;1.664396047592163;48.99001693725586;Buchelay;2
FRY01P78123001;78123;[2.0245769023895264, 48.947635650634766];22.0;2.0245769023895264;48.947635650634766;Carrières-sous-Poissy;2
FRY01P78033001;78033;[1.8436332941055298, 48.92878723144531];3.7;1.8436332941055296;48.92878723144531;Aulnay-sur-Mauldre;2
FRY01P78029001;78029;[1.8483200073242188, 48.97163391113281];3.7;1.8483200073242188;48.97163391113281;Aubergenville;2
FRY01P78029002;78029;[1.8562469482421875, 48.95844268798828];22.0;1.8562469482421875;48.95844268798828;Aubergenville;2
FRY01P78015002;78015;[2.0498130321502686, 48.97477722167969];3.7;2.049813032150269;48.97477722167969;Andrésy;2
FRY01P78123002;78123;[2.0250399112701416, 48.94606399536133];22.0;2.0250399112701416;48.94606399536133;Carrières-sous-Poissy;2
FRY01P78172002;78700;[2.1162800788879395, 49.5157470703125];3.7;2.1162800788879395;49.5157470703125;;2
FRY01P78206001;78206;[1.9225820302963257, 48.9482536315918];3.7;1.9225820302963257;48.9482536315918;Ecquevilly;2
FRY01P78172001;78172;[2.0946290493011475, 48.993595123291016];22.0;2.0946290493011475;48.993595123291016;Conflans-Sainte-Honorine;2
FRY01P78172003;78172;[2.098133087158203, 48.99641036987305];22.0;2.098133087158203;48.99641036987305;Conflans-Sainte-Honorine;2
FRY01P78138002;78138;[2.0305891036987305, 48.97853469848633];3.7;2.0305891036987305;48.97853469848633;Chanteloup-les-Vignes;2
FRY01P78138001;78138;[2.0332770347595215, 48.97534942626953];3.7;2.033277034759521;48.97534942626953;Chanteloup-les-Vignes;2
FRY01P78123003;78123;[2.022094964981079, 48.93706130981445];22.0;2.022094964981079;48.93706130981445;Carrières-sous-Poissy;2
FRY01P78123004;78123;[2.038361072540283, 48.95104217529297];22.0;2.038361072540283;48.95104217529297;Carrières-sous-Poissy;2
